State;Up;Down;Left;Right;Stay
1,1|2|3|0001;-49.13639;-50.07719;-48.72665;-51.41748;-50.98094
0,1|2|3|0001;-43.47669;-47.60787;-49.25723;-49.06681;-50.20417
-1,1|1|2|1001;-20.71172;-17.30612;-30.64324;-23.58512;-24.04038
0,-1|2|3|0010;-39.26735;-44.65597;-47.58838;-44.42072;-46.61365
0,-1|1|3|0010;-36.39668;-79.14423;-39.29839;-37.85699;-37.24479
1,1|1|2|1010;-27.52397;-28.01948;-27.44638;-31.10289;-28.76133
1,1|2|2|0101;-49.48581;-49.72274;-51.45906;-49.77871;-51.08507
0,1|2|2|0101;-51.24244;-53.56416;-51.24038;-50.7919;-51.01012
-1,-1|1|3|0001;-42.79926;-68.46638;-59.82201;-48.26172;-47.62937
1,0|1|3|0001;-16.08;-13.80296;-12.61684;-13.18289;-13.7649
1,0|2|2|1001;-9.271044;-11.85779;-7.429078;-2.84;-15.57442
1,1|2|2|1001;-50.63815;-44.50949;-47.84493;-47.69693;-45.42838
-1,-1|1|2|1100;-30.42941;-31.31539;-27.90632;-29.14722;-28.69538
1,0|0|2|1010;-69.28;-29.40543;-59.04;-79.02848;-48.8
-1,0|2|3|0010;-17.81355;-20.77745;-22.38769;-20.64839;-20.31657
-1,0|1|2|1100;-48.37369;-40.11017;-82.47964;-27.66984;-45.14833
-1,0|0|1|1101;-99.93472;-99.93472;-99.94429;-99.94429;-99.93037
0,0|0|1|1101;0;0;0;0;0
0,-1|0|4|0000;-32.31445;-101.6732;-39.62655;-39.56341;-97.74821
0,-1|0|3|0001;-25.45644;-99.98796;-36.97596;-99.92572;-99.98119
0,1|1|2|0101;-52.27752;-44.95442;-35.82137;-42.14575;-44.71728
-1,-1|1|3|0100;-32.65502;-34.45845;-39.19284;-27.74759;-32.46053
0,1|2|3|1000;-34.00574;-33.15068;-32.8601;-33.22522;-31.26335
-1,0|2|2|1100;-51.99956;-49.91669;-43.12521;-37.32271;-48.40225
-1,0|1|1|1101;-78.46163;-78.41652;-78.46196;-82.01417;-83.59144
1,1|1|2|1100;-46.18802;-43.27721;-37.17081;-50.69018;-47.3196
1,0|2|4|0000;-46.67775;-47.38231;-43.5507;-46.61168;-48.98409
1,0|1|4|0000;-35.76691;-26.64718;-38.4991;-67.232;-39.33925
-1,-1|1|3|0010;-31.47389;-44.95745;-32.34081;-31.42511;-32.82425
-1,0|1|3|0010;-16.76719;-19.60532;-19.34752;-16.67381;-18.802
1,1|2|1|1101;-46.66383;-45.14182;-44.75683;-47.94873;-45.87813
